ZipcodeID,DistrictCode,ZipcodeCode
930,191010,18160
931,191011,18160
932,191012,18160
933,191101,18180
934,191102,18180
935,191104,18180
936,191105,18180
937,191107,18180
938,191109,18220
939,191201,18220
940,191202,18220
941,191203,18220
942,191301,18000
943,191302,18000
944,191303,18000
945,191304,18240
946,191305,18000
947,191306,18240
948,200101,20000
949,200102,20000
950,200103,20000
951,200104,20000
952,200105,20000
953,200106,20000
954,200107,20000
955,200108,20000
956,200109,20000
957,200110,20000
958,200111,20000
959,200112,20000
960,200113,20130
961,200114,20130
962,200115,20000
963,200116,20130
964,200117,20000
965,200118,20000
966,200201,20170
967,200202,20220
968,200203,20170
969,200204,20170
970,200205,20170
971,200206,20170
972,200207,20220
973,200208,20220
974,200301,20190
975,200302,20190
976,200303,20190
977,200304,20190
978,200305,20190
979,200401,20150
980,200402,20150
981,200403,20150
982,200404,20150
983,200405,20150
984,200406,20150
985,200407,20150
986,200408,20150
987,200501,20160
988,200502,20160
989,200503,20160
990,200504,20160
991,200505,20160
992,200506,20160
993,200507,20160
994,200508,20160
995,200509,20160
996,200510,20160
997,200511,20160
998,200601,20140
999,200602,20140
1000,200603,20140
1001,200604,20140
1002,200605,20140
1003,200606,20140
1004,200607,20140
1005,200608,20140
1006,200609,20140
1007,200610,20140
1008,200611,20140
1009,200613,20140
1010,200614,20140
1011,200615,20140
1012,200616,20140
1013,200617,20140
1014,200618,20140
1015,200620,20140
1016,200621,20140
1017,200622,20140
1018,200701,20110
1019,200702,20110
1020,200703,20230
1021,200704,20230
1022,200705,20110
1023,200706,20110
1024,200707,20110
1025,200708,20230
1026,200801,20120
1027,200901,20180
1028,200902,20250
1029,200903,20180
1030,200904,20250
1031,200905,20180
1032,201001,20270
1033,201002,20270
1034,201003,20270
1035,201004,20270
1036,201005,20270
1037,201006,20270
1038,201101,20240
1039,201102,20240
1040,210101,21000
1041,210102,21000
1042,210103,21000
1043,210104,21000
1044,210105,21160
1045,210106,21160
1046,210107,21000
1047,210108,21000
1048,210109,21000
1049,210110,21100
1050,210111,21000
1051,210112,21000
1052,210113,21150
1053,210114,21150
1054,210115,21100
1055,210201,21130
1056,210202,21130
1057,210203,21130
1058,210301,21110
1059,210302,21110
1060,210303,21110
1061,210304,21110
1062,210305,21190
1063,210306,21190
1064,210307,21110
1065,210308,21110
1066,210309,21110
1067,210310,22160
1068,210311,21170
1069,210312,21110
1070,210313,21170
1071,210317,21110
1072,210318,21110
1073,210401,21210
1074,210402,21210
1075,210403,21210
1076,210404,21210
1077,210501,21120
1078,210502,21120
1079,210503,21120
1080,210504,21120
1081,210505,21120
1082,210506,21120
1083,210507,21120
1084,210601,21140
1085,210602,21140
1086,210603,21140
1087,210604,21140
1088,210605,21140
1089,210606,21140
1090,210701,21110
1091,210702,21110
1092,210703,21110
1093,210704,21110
1094,210801,21180
1095,210802,21180
1096,210803,21180
1097,210804,21180
1098,220101,22000
1099,220102,22000
1100,220103,22000
1101,220104,22000
1102,220105,22000
1103,220106,22000
1104,220107,22000
1105,220108,22000
1106,220109,22000
1107,220110,22000
1108,220111,22000
1109,220201,22110
1110,220202,22110
1111,220203,22110
1112,220204,22110
1113,220205,22110
1114,220206,22110
1115,220207,22110
1116,220208,22110
1117,220209,22110
1118,220210,22110
1119,220211,22110
1120,220212,22150
1121,220301,22120
1122,220302,22120
1123,220303,22120
1124,220304,22120
1125,220305,22120
1126,220306,22120
1127,220307,22120
1128,220308,22120
1129,220309,22170
1130,220311,22170
1131,220312,22170
1132,220313,22120
1133,220314,22120
1134,220324,22170
1135,220401,22140
1136,220402,22140
1137,220404,22140
1138,220409,22140
1139,220410,22140
1140,220501,22150
1141,220502,22150
1142,220503,22150
1143,220504,22150
1144,220506,22150
1145,220508,22150
1146,220601,22130
1147,220602,22130
1148,220603,22130
1149,220604,22190
1150,220605,22190
1151,220606,22190
1152,220607,22120
1153,220701,22180
1154,220702,22180
1155,220703,22180
1156,220704,22180
1157,220705,22180
1158,220801,22160
1159,220802,22160
1160,220803,22160
1161,220804,22160
1162,220805,22160
1163,220901,22160
1164,220902,22170
1165,220903,22170
1166,220904,22170
1167,220905,22160
1168,220906,22170
1169,221001,22210
1170,221002,22210
1171,221003,22210
1172,221004,22210
1173,221005,22210
1174,230101,23000
1175,230102,23000
1176,230103,23000
1177,230104,23000
1178,230105,23000
1179,230106,23000
1180,230107,23000
1181,230108,23000
1182,230109,23000
1183,230110,23000
1184,230111,23000
1185,230112,23000
1186,230113,23000
1187,230114,23000
1188,230201,23110
1189,230202,23110
1190,230203,23110
1191,230301,23130
1192,230302,23150
1193,230303,23130
1194,230304,23150
1195,230305,23150
1196,230306,23150
1197,230307,23150
1198,230308,23130
1199,230401,23140
1200,230402,23140
1201,230403,23140
1202,230404,23140
1203,230405,23140
1204,230501,23120
1205,230502,23120
1206,230503,23120
1207,230507,23120
1208,230601,23000
1209,230602,23000
1210,230701,23170
1211,230702,23170
1212,240101,24000
1213,240102,24000
1214,240103,24000
1215,240104,24000
1216,240105,24000
1217,240106,24000
1218,240107,24000
1219,240108,24000
1220,240109,24000
1221,240110,24000
1222,240111,24000
1223,240112,24000
1224,240113,24000
1225,240114,24000
1226,240115,24000
1227,240116,24000
1228,240117,24000
1229,240118,24000
1230,240119,24000
1231,240201,24110
1232,240204,24110
1233,240208,24110
1234,240209,24110
1235,240210,24110
1236,240211,24110
1237,240212,24110
1238,240213,24110
1239,240214,24110
1240,240301,24150
1241,240302,24150
1242,240303,24150
1243,240304,24150
1244,240305,24170
1245,240306,24170
1246,240307,24150
1247,240308,24170
1248,240309,24000
1249,240310,24150
1250,240401,24130
1251,240402,24130
1252,240403,24180
1253,240404,24180
1254,240405,24130
